False Positive Rate,True Positive Rate,Threshold
0.0004065178359700532,0.024734024530731178,0.999503
0.0004065178359700532,0.024801788981500306,0.9995024
0.0004065178359700532,0.025106729009961373,0.9994966
0.0004065178359700532,0.0251744934607305,0.99949574
0.0004065178359700532,0.025445551263807008,0.9994842
0.0004065178359700532,0.025513315714576133,0.99948406
0.0004065178359700532,0.025919902419190892,0.99947745
0.0004065178359700532,0.02598766686996002,0.99947554
0.0004065178359700532,0.02713966253303517,0.999456
0.00044039432230089093,0.02713966253303517,0.99945444
0.00044039432230089093,0.0274784847868808,0.9994468
0.00044039432230089093,0.02754624923764993,0.999445
0.00044039432230089093,0.027580131463034493,0.9994448
0.00044039432230089093,0.02764789591380362,0.9994443
0.00044039432230089093,0.027681778139188182,0.9994437
0.00044039432230089093,0.027749542589957307,0.9994435
