False Positive Rate,True Positive Rate,Threshold
0.010022438294689604,0.1691250757728834,0.9040765
0.010022438294689604,0.1699333198625985,0.9036636
0.010172026925953627,0.1699333198625985,0.90334773
0.010172026925953627,0.17013538088502728,0.90315163
0.010321615557217651,0.17013538088502728,0.90307784
0.010321615557217651,0.1707415639523136,0.9027348
0.010471204188481676,0.1707415639523136,0.9025787
0.010471204188481676,0.17195393008688625,0.9016905
0.010620792819745699,0.17195393008688625,0.9016753
0.010620792819745699,0.1723580521317438,0.9013119
0.010770381451009723,0.1723580521317438,0.9012554
0.010770381451009723,0.1753889674681754,0.899951
0.010919970082273748,0.1753889674681754,0.8998695
0.010919970082273748,0.17639927258031926,0.89951557
0.01106955871353777,0.17639927258031926,0.89949167
0.01106955871353777,0.1768033946251768,0.8992585
