Recall,Precision,Threshold
0.9997979389775712,0.4386135980852761,0.0011316992
0.9997979389775712,0.43865248226950354,0.0011445507
0.9997979389775712,0.4386913733487011,0.0011554665
0.9997979389775712,0.43873027132470294,0.001160989
0.9997979389775712,0.4387691761993438,0.0011684808
0.9997979389775712,0.438808087974459,0.0011698317
0.9997979389775712,0.4388470066518847,0.0011729521
0.9997979389775712,0.4388859322334575,0.0011806182
0.9997979389775712,0.43892486472101483,0.0011818346
0.9997979389775712,0.43896380411639463,0.0011828121
0.9997979389775712,0.43900275042143555,0.0012030143
0.9997979389775712,0.43904170363797695,0.0012159611
0.9997979389775712,0.4390806637678587,0.0012320887
0.9997979389775712,0.43911963081292155,0.0012494731
0.9997979389775712,0.4391586047750067,0.0012554892
0.9997979389775712,0.43919758565595596,0.0012637802
